transaction_id,timestamp,customer_id,sender_name,receiver_name,sender_bank,receiver_bank,transaction_type,merchant_category,amount,currency,balance_before,balance_after,country,city,ip_address,device_type,device_id,channel,is_foreign_transaction,is_high_risk_country,failed_login_attempts,transaction_hour,risk_score,label
NORM0003526,2025-12-19 08:14:16,CUS44331,Bùi Linh,Đặng Bình,Sacombank,VPBank,Mua hàng online,Thời trang,9554386.0,EUR,219444971.0,209890585.0,Vietnam,Cần Thơ,94.15.104.17,Laptop,DEV945321,ATM,0,0,1,8,8,normal
NORM0007880,2025-09-29 14:34:16,CUS28943,Hoàng Lan,Nguyễn An,Sacombank,MB Bank,Mua hàng online,Điện tử,874658.0,EUR,431263666.0,430389008.0,Vietnam,Cần Thơ,94.64.233.54,Tablet,DEV581891,POS,0,0,1,14,15,normal
NORM0016442,2025-09-26 22:07:11,CUS96806,Trần Phúc,Phạm Linh,TPBank,Sacombank,Nạp ví điện tử,Điện tử,1238433.0,EUR,178048673.0,176810240.0,Vietnam,Hà Nội,99.221.10.226,Laptop,DEV251177,ATM,0,0,2,22,32,normal
NORM0016297,2025-05-15 11:47:51,CUS44653,Hoàng Bình,Hoàng Linh,Vietcombank,VPBank,Chuyển khoản,Thời trang,2376390.0,VND,216769303.0,214392913.0,Vietnam,Hà Nội,78.248.175.246,Mobile,DEV557350,POS,0,0,1,11,28,normal
NORM0012567,2025-07-07 08:24:35,CUS29989,Trần Bình,Bùi Ngọc,TPBank,TPBank,Thanh toán POS,Vận tải,3273773.0,EUR,328065992.0,324792219.0,Vietnam,Hà Nội,112.113.222.105,POS,DEV512960,Mobile Banking,0,0,0,8,11,normal
NORM0005253,2025-07-09 13:57:58,CUS70108,Trần Dũng,Bùi Linh,Sacombank,VPBank,Chuyển khoản,Giáo dục,3306236.0,EUR,142346961.0,139040725.0,Vietnam,Hải Phòng,208.7.127.93,Laptop,DEV688660,Internet Banking,0,0,2,13,2,normal
SUSP0001394,2025-06-05 03:15:29,CUS85574,Nguyễn Nam,Hoàng Minh,International Bank,Offshore Bank,Chuyển khoản,Giải trí,5511996113.0,VND,5805747015.0,293750902.0,Hong Kong,Dubai,142.50.249.55,POS,DEV475565,Internet Banking,0,0,12,3,88,abnormal
NORM0016797,2025-10-10 14:57:51,CUS31635,Phạm Linh,Vũ Huy,Sacombank,VPBank,Thanh toán hóa đơn,Ăn uống,552317.0,EUR,246854303.0,246301986.0,Vietnam,TP.HCM,42.165.136.98,Mobile,DEV306861,Internet Banking,0,0,2,14,20,normal
NORM0008095,2025-02-14 12:08:34,CUS30341,Nguyễn Phúc,Phạm Minh,TPBank,TPBank,Nạp ví điện tử,Vận tải,544036.0,VND,215433211.0,214889175.0,Vietnam,Nha Trang,208.27.7.107,POS,DEV185980,Mobile Banking,0,0,2,12,30,normal
NORM0000323,2025-12-29 12:00:33,CUS22276,Trần Chi,Trần Ngọc,ACB,TPBank,Mua hàng online,Vận tải,2245076.0,EUR,262478421.0,260233345.0,Vietnam,Hà Nội,6.10.32.9,Laptop,DEV726313,Mobile Banking,0,0,1,12,10,normal
NORM0009924,2025-03-05 21:31:45,CUS83239,Bùi Ngọc,Đặng Huy,VPBank,TPBank,Thanh toán POS,Siêu thị,1238234.0,EUR,43763509.0,42525275.0,Vietnam,TP.HCM,5.171.26.234,Tablet,DEV533796,Mobile Banking,0,0,2,21,19,normal
NORM0007460,2025-03-01 06:32:13,CUS76055,Bùi Linh,Đặng Ngọc,Techcombank,MB Bank,Thanh toán hóa đơn,Siêu thị,11337168.0,USD,65105017.0,53767849.0,Vietnam,Đà Nẵng,5.172.222.188,Tablet,DEV321015,Mobile Banking,0,0,1,6,32,normal
SUSP0001025,2025-04-20 00:33:34,CUS72532,Hoàng Huy,Nguyễn Dũng,Offshore Bank,BIDV,Chuyển khoản,Thời trang,2628387456.0,USD,9110862970.0,6482475514.0,Cayman Islands,Dubai,13.27.48.234,Laptop,DEV759009,Mobile Banking,1,1,3,0,94,abnormal
NORM0017554,2025-05-30 09:50:31,CUS59278,Phạm Phúc,Nguyễn An,BIDV,TPBank,Thanh toán hóa đơn,Điện tử,1443998.0,VND,286177831.0,284733833.0,Vietnam,TP.HCM,115.111.133.126,Mobile,DEV787956,ATM,0,0,2,9,27,normal
NORM0009120,2025-10-17 22:41:38,CUS39631,Đặng Dũng,Bùi Minh,Agribank,Sacombank,Thanh toán POS,Ăn uống,5761266.0,USD,365286250.0,359524984.0,Vietnam,Hà Nội,66.71.19.78,Mobile,DEV783035,Internet Banking,0,0,2,22,11,normal
NORM0016422,2025-06-25 19:50:32,CUS31555,Lê Hà,Phạm An,Techcombank,Vietcombank,Thanh toán hóa đơn,Siêu thị,3655008.0,VND,335511277.0,331856269.0,Vietnam,Cần Thơ,155.14.142.81,ATM,DEV796312,Internet Banking,0,0,1,19,35,normal
NORM0016061,2025-01-19 06:40:37,CUS22505,Phạm Linh,Bùi Hà,BIDV,BIDV,Chuyển khoản,Du lịch,1388018.0,VND,441759006.0,440370988.0,Vietnam,Cần Thơ,24.105.87.4,POS,DEV954456,POS,0,0,2,6,16,normal
NORM0010121,2025-05-05 12:44:06,CUS20533,Vũ Bình,Hoàng Lan,Techcombank,Sacombank,Thanh toán hóa đơn,Siêu thị,13461718.0,USD,15114191.0,1652473.0,Vietnam,Hà Nội,101.27.237.2,Mobile,DEV542946,Internet Banking,0,0,0,12,23,normal
SUSP0001056,2025-08-07 02:34:59,CUS56587,Đặng Minh,Lê Ngọc,Offshore Bank,Agribank,Chuyển khoản,Y tế,690309055.0,USD,9680134716.0,8989825661.0,Cayman Islands,Dubai,120.87.95.11,Mobile,DEV800308,Mobile Banking,1,1,5,2,86,abnormal
NORM0003650,2025-06-10 07:21:17,CUS71274,Nguyễn Hà,Đặng Phúc,VPBank,Vietcombank,Thanh toán hóa đơn,Ăn uống,11858725.0,VND,410560995.0,398702270.0,Vietnam,Cần Thơ,132.129.33.118,ATM,DEV624382,POS,0,0,0,7,11,normal
NORM0003942,2025-12-03 14:13:53,CUS90606,Đặng Linh,Trần Linh,VPBank,MB Bank,Nạp ví điện tử,Vận tải,3778378.0,VND,163476482.0,159698104.0,Vietnam,TP.HCM,164.111.229.114,POS,DEV526481,POS,0,0,2,14,19,normal
NORM0017881,2025-04-16 21:34:51,CUS47874,Nguyễn Lan,Bùi Nam,BIDV,Sacombank,Thanh toán POS,Ăn uống,2701032.0,USD,62460778.0,59759746.0,Vietnam,Cần Thơ,139.243.163.159,ATM,DEV202446,ATM,0,0,2,21,25,normal
NORM0016676,2025-05-27 20:14:36,CUS73239,Đặng Ngọc,Lê Phúc,Vietcombank,Vietcombank,Chuyển khoản,Vận tải,7740174.0,EUR,405762903.0,398022729.0,Vietnam,TP.HCM,105.18.146.43,POS,DEV199580,ATM,0,0,2,20,32,normal
NORM0012631,2025-01-08 21:15:05,CUS44577,Đặng Bình,Trần Hà,TPBank,Techcombank,Chuyển khoản,Y tế,85862226.0,VND,298779300.0,212917074.0,Vietnam,Đà Nẵng,198.71.134.77,ATM,DEV994717,Internet Banking,0,0,1,21,3,normal
NORM0011444,2025-09-21 07:57:20,CUS91450,Hoàng Huy,Vũ Minh,Vietcombank,TPBank,Thanh toán hóa đơn,Siêu thị,1336458.0,EUR,123796688.0,122460230.0,Vietnam,Đà Nẵng,35.120.239.6,Tablet,DEV174629,Internet Banking,0,0,2,7,35,normal
NORM0012158,2025-09-12 20:16:30,CUS25413,Vũ Dũng,Vũ Phúc,ACB,Agribank,Thanh toán POS,Siêu thị,3807317.0,USD,233724616.0,229917299.0,Vietnam,Nha Trang,38.232.70.123,Tablet,DEV710417,Mobile Banking,0,0,0,20,2,normal
NORM0013836,2025-03-03 15:08:00,CUS85754,Bùi Chi,Vũ Phúc,Techcombank,BIDV,Thanh toán hóa đơn,Giáo dục,4147551.0,VND,395280080.0,391132529.0,Vietnam,TP.HCM,186.163.239.83,POS,DEV465002,ATM,0,0,1,15,12,normal
NORM0003435,2025-08-22 10:53:15,CUS44633,Hoàng Minh,Phạm Chi,MB Bank,Agribank,Rút tiền ATM,Y tế,3532339.0,VND,99262491.0,95730152.0,Vietnam,TP.HCM,146.135.38.185,Mobile,DEV831755,ATM,0,0,1,10,6,normal
SUSP0000740,2025-07-09 03:27:34,CUS59804,Đặng Phúc,Bùi Hà,International Bank,VPBank,Chuyển khoản,Y tế,892634153.0,VND,2751855846.0,1859221693.0,Singapore,Hong Kong,74.208.39.92,Tablet,DEV978457,Mobile Banking,1,1,7,3,98,abnormal
NORM0017408,2025-01-04 22:24:14,CUS29235,Đặng Linh,Hoàng Bình,VPBank,Techcombank,Nạp ví điện tử,Vận tải,5128216.0,VND,96404599.0,91276383.0,Vietnam,Cần Thơ,147.121.229.30,Laptop,DEV438665,ATM,0,0,2,22,12,normal
NORM0015441,2025-06-09 17:00:05,CUS75077,Trần An,Hoàng Minh,VPBank,Sacombank,Rút tiền ATM,Giáo dục,616152.0,EUR,332660950.0,332044798.0,Vietnam,Đà Nẵng,121.245.44.182,Tablet,DEV975531,Internet Banking,0,0,1,17,32,normal
NORM0010407,2025-03-15 17:03:48,CUS95892,Hoàng An,Trần Minh,Vietcombank,VPBank,Chuyển khoản,Giáo dục,2062382.0,EUR,269681829.0,267619447.0,Vietnam,Cần Thơ,58.230.16.144,POS,DEV710574,POS,0,0,0,17,12,normal
NORM0006518,2025-03-13 09:31:45,CUS33683,Trần Minh,Đặng Dũng,TPBank,Techcombank,Thanh toán POS,Giải trí,5771766.0,VND,265986016.0,260214250.0,Vietnam,Hải Phòng,57.226.57.96,Tablet,DEV209484,Mobile Banking,0,0,1,9,21,normal
NORM0000972,2025-07-11 14:06:08,CUS90180,Bùi Linh,Vũ Bình,ACB,Agribank,Rút tiền ATM,Y tế,681165.0,EUR,212792497.0,212111332.0,Vietnam,Nha Trang,37.12.43.171,Laptop,DEV144079,POS,0,0,0,14,15,normal
NORM0016488,2025-06-22 16:52:36,CUS74227,Bùi Bình,Phạm Nam,Agribank,ACB,Thanh toán hóa đơn,Thời trang,2028061.0,EUR,75314226.0,73286165.0,Vietnam,Cần Thơ,72.23.203.57,ATM,DEV243725,Internet Banking,0,0,2,16,27,normal
SUSP0001731,2025-06-23 02:43:06,CUS48154,Lê Minh,Vũ Ngọc,Unknown Bank,Vietcombank,Chuyển khoản,Du lịch,10580.0,VND,5738416899.0,5738406319.0,Dubai,Singapore,190.93.172.168,Mobile,DEV967627,Mobile Banking,1,1,9,2,85,abnormal
NORM0013138,2025-07-17 06:58:16,CUS31241,Phạm Bình,Phạm Lan,TPBank,Vietcombank,Rút tiền ATM,Ăn uống,55358601.0,EUR,266897816.0,211539215.0,Vietnam,Nha Trang,95.52.164.82,Mobile,DEV525921,POS,0,0,1,6,18,normal
NORM0003670,2025-03-05 20:03:13,CUS53443,Nguyễn Linh,Nguyễn Linh,BIDV,ACB,Mua hàng online,Giải trí,3180075.0,EUR,168854928.0,165674853.0,Vietnam,Hải Phòng,46.57.3.190,ATM,DEV462878,Mobile Banking,0,0,1,20,5,normal
NORM0015984,2025-05-13 19:22:05,CUS39988,Nguyễn Chi,Bùi Bình,Agribank,Techcombank,Chuyển khoản,Thời trang,791919.0,VND,295635217.0,294843298.0,Vietnam,Hà Nội,103.209.184.34,POS,DEV607270,Mobile Banking,0,0,2,19,35,normal
NORM0004059,2025-12-09 12:43:54,CUS16225,Bùi Linh,Đặng Phúc,Vietcombank,ACB,Nạp ví điện tử,Giáo dục,2991658.0,EUR,339656004.0,336664346.0,Vietnam,Nha Trang,167.131.14.211,Tablet,DEV556746,POS,0,0,0,12,7,normal
NORM0014977,2025-04-03 21:57:33,CUS16596,Phạm Dũng,Đặng Lan,BIDV,Agribank,Chuyển khoản,Giải trí,5761283.0,USD,115970349.0,110209066.0,Vietnam,TP.HCM,79.42.105.19,Mobile,DEV381481,Mobile Banking,0,0,2,21,26,normal
NORM0015699,2025-08-09 13:56:42,CUS86950,Bùi Minh,Phạm Minh,VPBank,TPBank,Thanh toán hóa đơn,Siêu thị,632821.0,VND,417364931.0,416732110.0,Vietnam,Cần Thơ,93.195.7.80,Mobile,DEV979232,Internet Banking,0,0,2,13,16,normal
NORM0013830,2025-02-13 17:34:50,CUS14100,Hoàng Bình,Trần Ngọc,MB Bank,TPBank,Nạp ví điện tử,Ăn uống,2773279.0,USD,451750624.0,448977345.0,Vietnam,Cần Thơ,132.119.240.230,Mobile,DEV806440,Mobile Banking,0,0,2,17,34,normal
NORM0013420,2025-12-11 19:58:48,CUS34517,Phạm Phúc,Trần Ngọc,Agribank,ACB,Rút tiền ATM,Ăn uống,4207388.0,VND,90454582.0,86247194.0,Vietnam,Đà Nẵng,80.146.49.234,Tablet,DEV330378,POS,0,0,2,19,34,normal
NORM0000961,2025-02-17 21:42:42,CUS86540,Nguyễn Chi,Hoàng Minh,Agribank,Sacombank,Thanh toán hóa đơn,Vận tải,506924.0,EUR,376065175.0,375558251.0,Vietnam,Đà Nẵng,204.231.66.191,ATM,DEV544992,POS,0,0,0,21,3,normal
NORM0017745,2025-12-17 17:46:37,CUS16034,Lê Nam,Lê Dũng,VPBank,Agribank,Mua hàng online,Điện tử,1086099.0,USD,147139537.0,146053438.0,Vietnam,Đà Nẵng,220.40.156.197,Mobile,DEV875925,POS,0,0,0,17,34,normal
NORM0009865,2025-07-08 22:43:00,CUS62018,Vũ Hà,Phạm Linh,VPBank,MB Bank,Thanh toán hóa đơn,Vận tải,3552224.0,VND,233701286.0,230149062.0,Vietnam,Đà Nẵng,110.183.51.120,ATM,DEV822453,POS,0,0,1,22,13,normal
NORM0011264,2025-03-23 15:03:38,CUS10372,Bùi Hà,Lê Chi,ACB,Techcombank,Thanh toán POS,Siêu thị,1652447.0,EUR,255355885.0,253703438.0,Vietnam,Hải Phòng,167.4.170.227,ATM,DEV496952,POS,0,0,1,15,21,normal
NORM0015783,2025-01-04 10:58:48,CUS67294,Trần Minh,Bùi Nam,Vietcombank,Vietcombank,Mua hàng online,Điện tử,505807.0,USD,97909922.0,97404115.0,Vietnam,Nha Trang,7.143.231.7,Laptop,DEV102145,POS,0,0,2,10,24,normal
NORM0017197,2025-11-24 15:05:17,CUS37273,Hoàng Phúc,Hoàng Hà,ACB,Sacombank,Rút tiền ATM,Siêu thị,1686492.0,EUR,313491441.0,311804949.0,Vietnam,Nha Trang,72.195.216.230,Mobile,DEV676126,Mobile Banking,0,0,1,15,9,normal
NORM0007555,2025-03-21 08:51:52,CUS78533,Lê Minh,Đặng An,VPBank,Techcombank,Rút tiền ATM,Y tế,11532452.0,EUR,92145173.0,80612721.0,Vietnam,Hải Phòng,2.113.183.16,POS,DEV577875,Mobile Banking,0,0,1,8,10,normal
NORM0010499,2025-07-16 10:50:54,CUS99310,Lê An,Nguyễn Linh,TPBank,Agribank,Mua hàng online,Điện tử,1954349.0,EUR,338825732.0,336871383.0,Vietnam,Đà Nẵng,83.243.230.60,POS,DEV389160,ATM,0,0,0,10,14,normal
NORM0017060,2025-10-22 10:49:32,CUS19007,Phạm Lan,Nguyễn Dũng,Agribank,MB Bank,Rút tiền ATM,Vận tải,1272382.0,VND,143579804.0,142307422.0,Vietnam,Cần Thơ,157.46.78.150,POS,DEV502176,Internet Banking,0,0,1,10,24,normal
NORM0017929,2025-11-19 14:58:47,CUS35600,Đặng Dũng,Phạm Nam,ACB,ACB,Nạp ví điện tử,Giáo dục,1631472.0,USD,172290607.0,170659135.0,Vietnam,Nha Trang,34.191.79.70,Laptop,DEV461882,ATM,0,0,2,14,33,normal
NORM0007086,2025-08-26 09:45:30,CUS24291,Hoàng Phúc,Đặng Dũng,Techcombank,BIDV,Thanh toán POS,Điện tử,3096346.0,USD,421317295.0,418220949.0,Vietnam,Hải Phòng,78.173.183.190,ATM,DEV876426,Mobile Banking,0,0,2,9,14,normal
NORM0014754,2025-12-29 22:30:58,CUS89337,Nguyễn Ngọc,Nguyễn Minh,TPBank,Sacombank,Thanh toán POS,Giải trí,3371788.0,EUR,173363416.0,169991628.0,Vietnam,Hải Phòng,110.106.11.132,Mobile,DEV295894,POS,0,0,2,22,23,normal
NORM0004520,2025-03-24 14:54:40,CUS74607,Hoàng Chi,Vũ Nam,BIDV,VPBank,Rút tiền ATM,Siêu thị,3095374.0,USD,315317775.0,312222401.0,Vietnam,Đà Nẵng,89.6.242.70,POS,DEV609310,Mobile Banking,0,0,2,14,13,normal
NORM0003025,2025-12-04 17:31:46,CUS20706,Đặng Linh,Vũ An,TPBank,VPBank,Nạp ví điện tử,Điện tử,1226508.0,VND,295534419.0,294307911.0,Vietnam,Hải Phòng,20.224.98.16,POS,DEV988040,ATM,0,0,1,17,10,normal
NORM0012122,2025-08-21 10:51:53,CUS78917,Đặng Minh,Hoàng Lan,TPBank,Techcombank,Thanh toán hóa đơn,Điện tử,834456.0,USD,281536771.0,280702315.0,Vietnam,TP.HCM,6.181.245.13,Laptop,DEV816458,Mobile Banking,0,0,1,10,31,normal
SUSP0000495,2025-02-27 04:44:22,CUS74066,Trần Huy,Đặng Lan,Unknown Bank,International Bank,Chuyển khoản,Giải trí,620871172.0,VND,6692738892.0,6071867720.0,Dubai,Unknown,18.28.253.248,ATM,DEV125245,Mobile Banking,1,1,9,4,80,abnormal
NORM0005484,2025-11-16 06:24:13,CUS55907,Hoàng Ngọc,Lê Phúc,Sacombank,BIDV,Thanh toán POS,Y tế,1254329.0,USD,36569717.0,35315388.0,Vietnam,Nha Trang,42.53.252.21,Laptop,DEV453215,POS,0,0,0,6,7,normal
NORM0001420,2025-02-20 15:31:46,CUS84617,Nguyễn Bình,Phạm Bình,Vietcombank,VPBank,Thanh toán POS,Điện tử,5568618.0,USD,369032045.0,363463427.0,Vietnam,Hà Nội,30.22.209.196,Laptop,DEV206688,Internet Banking,0,0,1,15,25,normal
NORM0006210,2025-02-26 17:02:48,CUS73105,Lê Lan,Phạm Nam,VPBank,MB Bank,Thanh toán POS,Giải trí,6005332.0,USD,25248017.0,19242685.0,Vietnam,TP.HCM,202.182.57.242,Laptop,DEV238539,ATM,0,0,2,17,28,normal
NORM0010743,2025-11-07 10:04:46,CUS78182,Trần Lan,Vũ Dũng,VPBank,Techcombank,Thanh toán POS,Siêu thị,13208894.0,EUR,214215502.0,201006608.0,Vietnam,Nha Trang,165.32.49.224,ATM,DEV237203,Internet Banking,0,0,0,10,11,normal
NORM0016144,2025-12-26 14:06:28,CUS22470,Hoàng Huy,Hoàng Ngọc,BIDV,TPBank,Thanh toán hóa đơn,Y tế,1582454.0,EUR,302834112.0,301251658.0,Vietnam,Cần Thơ,54.199.100.237,ATM,DEV857357,ATM,0,0,0,14,15,normal
NORM0017618,2025-11-27 07:36:07,CUS40525,Nguyễn Ngọc,Phạm Dũng,TPBank,Sacombank,Rút tiền ATM,Ăn uống,1486873.0,EUR,376602364.0,375115491.0,Vietnam,Nha Trang,24.16.98.182,POS,DEV263819,Internet Banking,0,0,0,7,8,normal
NORM0014569,2025-12-26 22:33:49,CUS77948,Phạm Linh,Bùi Bình,Techcombank,MB Bank,Mua hàng online,Ăn uống,1338693.0,VND,297822066.0,296483373.0,Vietnam,Hải Phòng,61.107.217.49,Mobile,DEV542191,ATM,0,0,1,22,33,normal
NORM0000981,2025-07-06 11:30:13,CUS68146,Bùi Huy,Lê Huy,BIDV,Vietcombank,Chuyển khoản,Y tế,2488885.0,EUR,468885123.0,466396238.0,Vietnam,Hà Nội,206.183.158.68,Tablet,DEV301815,Mobile Banking,0,0,1,11,9,normal
NORM0002784,2025-03-31 12:33:14,CUS27662,Nguyễn Minh,Lê Bình,TPBank,TPBank,Chuyển khoản,Giải trí,719799.0,USD,19234480.0,18514681.0,Vietnam,Nha Trang,78.239.68.111,Tablet,DEV602583,Internet Banking,0,0,1,12,26,normal
NORM0007714,2025-01-07 12:22:10,CUS71373,Hoàng Phúc,Đặng Ngọc,Techcombank,Techcombank,Nạp ví điện tử,Điện tử,2285965.0,USD,190770647.0,188484682.0,Vietnam,Đà Nẵng,209.107.62.121,Mobile,DEV698732,Internet Banking,0,0,1,12,11,normal
NORM0011519,2025-07-28 15:29:01,CUS71755,Đặng Linh,Hoàng Phúc,VPBank,ACB,Nạp ví điện tử,Giáo dục,4749430.0,USD,129332744.0,124583314.0,Vietnam,Nha Trang,177.199.154.42,Laptop,DEV381613,Mobile Banking,0,0,2,15,4,normal
NORM0008601,2025-04-17 12:33:01,CUS75845,Vũ Hà,Nguyễn Lan,VPBank,Techcombank,Thanh toán hóa đơn,Giáo dục,6682256.0,VND,331390727.0,324708471.0,Vietnam,Đà Nẵng,61.166.45.37,Mobile,DEV768756,Mobile Banking,0,0,2,12,4,normal
NORM0011641,2025-04-02 08:19:12,CUS50938,Nguyễn Minh,Phạm Linh,BIDV,TPBank,Thanh toán hóa đơn,Y tế,694856.0,USD,85488763.0,84793907.0,Vietnam,Cần Thơ,68.254.143.185,Mobile,DEV687181,Mobile Banking,0,0,0,8,3,normal
SUSP0000831,2025-07-20 02:23:21,CUS75906,Nguyễn Ngọc,Trần Chi,Unknown Bank,Techcombank,Chuyển khoản,Vận tải,6115787358.0,EUR,3609145894.0,0.0,Singapore,Unknown,217.39.193.85,Tablet,DEV854273,Mobile Banking,0,0,6,2,82,abnormal
NORM0012563,2025-01-26 21:25:48,CUS56214,Bùi Minh,Vũ An,Vietcombank,ACB,Mua hàng online,Ăn uống,4657405.0,VND,362469926.0,357812521.0,Vietnam,Nha Trang,82.27.233.26,POS,DEV172300,Internet Banking,0,0,1,21,5,normal
NORM0012752,2025-09-09 13:42:46,CUS11410,Bùi Hà,Hoàng Chi,Agribank,Agribank,Thanh toán hóa đơn,Du lịch,10525187.0,EUR,227614295.0,217089108.0,Vietnam,Cần Thơ,34.148.162.148,ATM,DEV805106,POS,0,0,2,13,35,normal
NORM0006385,2025-05-11 17:29:31,CUS80030,Phạm An,Lê Phúc,ACB,Techcombank,Thanh toán hóa đơn,Thời trang,3152304.0,VND,81924005.0,78771701.0,Vietnam,Nha Trang,168.161.229.239,Mobile,DEV210943,Mobile Banking,0,0,0,17,21,normal
NORM0004808,2025-11-10 12:35:42,CUS43947,Nguyễn Nam,Đặng Chi,Techcombank,Agribank,Mua hàng online,Điện tử,376712.0,VND,290586361.0,290209649.0,Vietnam,Đà Nẵng,29.95.54.119,Mobile,DEV613969,POS,0,0,2,12,27,normal
NORM0006196,2025-07-10 19:52:38,CUS10143,Phạm An,Nguyễn Nam,Sacombank,ACB,Thanh toán hóa đơn,Điện tử,720196.0,VND,142841557.0,142121361.0,Vietnam,Hải Phòng,69.25.153.78,Tablet,DEV816456,POS,0,0,0,19,17,normal
NORM0010649,2025-01-28 11:23:47,CUS87620,Đặng Nam,Đặng Bình,Vietcombank,Techcombank,Mua hàng online,Y tế,22927628.0,VND,30649302.0,7721674.0,Vietnam,Hải Phòng,57.195.185.171,Laptop,DEV826293,Internet Banking,0,0,1,11,20,normal
NORM0007568,2025-04-15 13:39:15,CUS37319,Hoàng Bình,Phạm Lan,Sacombank,Techcombank,Mua hàng online,Y tế,16169771.0,VND,243036477.0,226866706.0,Vietnam,Hà Nội,63.87.124.103,Tablet,DEV536615,Internet Banking,0,0,2,13,2,normal
NORM0016398,2025-01-22 20:36:56,CUS65182,Nguyễn Hà,Lê Hà,Agribank,TPBank,Thanh toán hóa đơn,Ăn uống,702509.0,VND,73545701.0,72843192.0,Vietnam,TP.HCM,69.167.131.217,POS,DEV161623,Internet Banking,0,0,0,20,7,normal
NORM0017525,2025-06-21 14:07:00,CUS63646,Bùi Nam,Vũ Chi,Vietcombank,BIDV,Chuyển khoản,Y tế,1103048.0,EUR,307478032.0,306374984.0,Vietnam,Nha Trang,52.48.83.44,ATM,DEV842614,Internet Banking,0,0,2,14,23,normal
NORM0001347,2025-08-12 10:07:14,CUS18999,Nguyễn Linh,Đặng Huy,TPBank,VPBank,Rút tiền ATM,Du lịch,6346914.0,VND,44976552.0,38629638.0,Vietnam,TP.HCM,70.169.248.249,Mobile,DEV541525,POS,0,0,0,10,15,normal
NORM0013125,2025-09-03 10:41:46,CUS35221,Đặng Minh,Hoàng Linh,Sacombank,Agribank,Thanh toán hóa đơn,Ăn uống,4795920.0,USD,245796607.0,241000687.0,Vietnam,Đà Nẵng,218.27.58.143,Laptop,DEV959270,ATM,0,0,0,10,18,normal
NORM0012674,2025-09-07 09:13:04,CUS24151,Phạm An,Phạm Chi,TPBank,Sacombank,Chuyển khoản,Vận tải,19259311.0,VND,471857704.0,452598393.0,Vietnam,Đà Nẵng,25.133.129.179,Laptop,DEV916262,Mobile Banking,0,0,0,9,20,normal
